"sessionId (text)","page (text)","latency (number)","timeOnPage (number)"
b8447762,query,114,327.985
385ba5ea,query,87,271.935
b9849c67,query,17,396.472
b8ba48cc,query,28,382.328
393f380d,explore,153,172.957
b881154c,welcome,48,34.472
3911f0b1,query,51,373.900
b9179291,index,5,65.002
b8cb668d,explore,46,125.181
385ba5ea,query,30,383.951
395ac9c4,query,83,347.552
b7b918b6,query,17,496.244
b841d8cb,query,70,410.658
3887562b,explore,22,91.875
3864e757,query,60,471.939
380b954e,explore,360,59.417
39262c2c,index,79,37.158
385ba5ea,query,225,332.440
38b4efea,explore,143,120.996
b8e6281d,,10,
b807be94,query,55,317.484
39810e91,,10,
b8cd58c8,query,130,416.621
399d158b,index,6,62.356
b81d2395,explore,153,59.829
b88e5463,welcome,179,25.873
38ef3640,,10,
b8d979b8,query,17,375.355
38a33852,,13,
b881154c,query,72,449.978
b92e8801,index,4,36.918
39746f30,welcome,44,33.248
37dff849,welcome,127,38.756
b878603b,,37,
b8315bc8,explore,176,103.974
38bce03f,query,20,374.402
b900ba0c,query,35,434.998
b85fadd4,explore,29,136.292
37260a05,index,13,48.335
386e63fe,index,67,23.297
b7b918b6,welcome,45,56.810
b77313cd,query,323,447.575
390a7b96,query,150,359.812
b892f9b1,query,17,337.422
b81a2d8e,welcome,18,33.402
376a234b,explore,185,99.143
b70be3c1,query,59,265.644
b891e22a,query,17,504.183
b8d2286a,query,154,223.506
384c9e30,welcome,51,33.944
38233158,,65,
3941931d,welcome,34,31.383
b7cfdfaa,explore,133,86.056
b785749f,index,21,25.177
b92a0568,,57,
b8cd58c8,,88,
b8d2a7ee,index,47,65.048
b8b29817,welcome,11,39.455
b89c360a,query,177,455.107
371e3a21,query,229,357.635
b7219296,welcome,96,21.525
b87c02c8,query,78,465.974
38937049,explore,40,104.287
379a2fde,welcome,62,26.463
38260124,explore,22,79.311
b8447762,explore,99,154.657
37f7fb42,query,175,358.259
b909b2c9,query,29,408.794
36cd0681,,22,
39204937,,139,
b89a141a,explore,123,137.911
b85de11e,query,17,359.843
387157e9,welcome,74,20.122
37448f35,index,14,26.199
38260124,query,39,347.530
b785749f,query,50,311.985
b98bcfcc,index,13,58.081
b836330c,explore,100,59.573
b873ff03,explore,145,160.915
389ad15f,query,17,403.918
b83093aa,,31,
38715456,query,21,335.143
37ac4473,welcome,7,26.791
37b9201d,welcome,7,30.368
38595510,,68,
387157e9,query,96,385.767
38b4efea,query,18,350.028
b8c91f40,welcome,16,16.595
b7219296,query,57,443.950
389ad15f,explore,22,134.594
36413a23,query,26,340.994
3863e159,query,60,427.006
b81a2d8e,welcome,35,14.736
37d123f1,,10,
b88e5463,welcome,7,37.749
3864e757,,29,
b76af8d0,welcome,7,35.077
b984fd05,explore,48,157.443
380db636,query,47,312.220
394ddfd9,welcome,7,26.907
3864e757,explore,552,106.682
b8d397b9,index,60,31.079
b90d34cb,query,331,460.911
b800c649,welcome,7,21.757
b824e5f3,explore,106,162.342
b84235d6,explore,22,152.907
b964410c,query,38,384.155
37758a07,welcome,7,27.715
b90037ce,query,118,343.262
b940485f,query,17,374.411
3863e159,query,358,266.213
380c290a,welcome,56,30.485
37537daf,welcome,12,29.888
37ac4473,explore,257,151.125
372ba72b,,20,
b5383e8b,explore,22,95.731
b7219296,explore,424,65.376
b8ff7b7e,welcome,7,28.652
b8a366cb,explore,38,101.619
b9863787,explore,141,153.721
37c18db6,explore,60,132.197
3851b378,welcome,24,39.393
b7219296,index,71,55.997
380b954e,explore,74,69.903
